<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,13/09/18,10:01,105890,106450,105890,106350,47
SPFB.RTS-12.18,1,13/09/18,10:02,106410,106500,106380,106410,44
SPFB.RTS-12.18,1,13/09/18,10:03,106400,106410,106300,106300,83
SPFB.RTS-12.18,1,13/09/18,10:04,106330,106360,106280,106360,15
SPFB.RTS-12.18,1,13/09/18,10:05,106330,106330,106280,106320,16
SPFB.RTS-12.18,1,13/09/18,10:06,106380,106470,106360,106440,166
SPFB.RTS-12.18,1,13/09/18,10:07,106480,106600,106440,106520,91
SPFB.RTS-12.18,1,13/09/18,10:08,106520,106540,106480,106480,23
SPFB.RTS-12.18,1,13/09/18,10:09,106540,106600,106540,106600,10
SPFB.RTS-12.18,1,13/09/18,10:10,106510,106560,106470,106510,84
SPFB.RTS-12.18,1,13/09/18,10:11,106510,106590,106490,106540,47
SPFB.RTS-12.18,1,13/09/18,10:12,106550,106550,106470,106470,28
SPFB.RTS-12.18,1,13/09/18,10:13,106480,106480,106440,106450,14
SPFB.RTS-12.18,1,13/09/18,10:15,106420,106470,106420,106470,6
SPFB.RTS-12.18,1,13/09/18,10:16,106440,106470,106370,106460,47
SPFB.RTS-12.18,1,13/09/18,10:17,106460,106550,106460,106530,44
SPFB.RTS-12.18,1,13/09/18,10:18,106490,106550,106480,106550,21
SPFB.RTS-12.18,1,13/09/18,10:19,106560,106650,106560,106630,39
SPFB.RTS-12.18,1,13/09/18,10:20,106590,106630,106590,106630,25
SPFB.RTS-12.18,1,13/09/18,10:21,106630,106650,106630,106650,118
SPFB.RTS-12.18,1,13/09/18,10:22,106660,106670,106580,106600,63
SPFB.RTS-12.18,1,13/09/18,10:23,106600,106640,106530,106640,78
SPFB.RTS-12.18,1,13/09/18,10:24,106640,106660,106630,106630,5
SPFB.RTS-12.18,1,13/09/18,10:25,106610,106640,106610,106640,4
SPFB.RTS-12.18,1,13/09/18,10:26,106610,106630,106600,106630,32
SPFB.RTS-12.18,1,13/09/18,10:27,106580,106580,106570,106570,3
SPFB.RTS-12.18,1,13/09/18,10:28,106610,106630,106610,106630,11
SPFB.RTS-12.18,1,13/09/18,10:29,106590,106600,106590,106600,27
SPFB.RTS-12.18,1,13/09/18,10:30,106580,106630,106560,106630,41
SPFB.RTS-12.18,1,13/09/18,10:31,106630,106630,106580,106590,20
SPFB.RTS-12.18,1,13/09/18,10:32,106580,106610,106580,106610,6
SPFB.RTS-12.18,1,13/09/18,10:33,106610,106620,106610,106620,2
SPFB.RTS-12.18,1,13/09/18,10:34,106620,106640,106620,106640,2
SPFB.RTS-12.18,1,13/09/18,10:35,106640,106680,106640,106680,5
SPFB.RTS-12.18,1,13/09/18,10:36,106690,106720,106680,106700,20
SPFB.RTS-12.18,1,13/09/18,10:37,106740,106750,106720,106750,23
SPFB.RTS-12.18,1,13/09/18,10:39,106750,106750,106720,106720,12
SPFB.RTS-12.18,1,13/09/18,10:40,106700,106700,106700,106700,3
SPFB.RTS-12.18,1,13/09/18,10:41,106720,106720,106720,106720,8
SPFB.RTS-12.18,1,13/09/18,10:42,106720,106720,106710,106710,5
SPFB.RTS-12.18,1,13/09/18,10:43,106710,106710,106710,106710,2
SPFB.RTS-12.18,1,13/09/18,10:45,106740,106760,106740,106760,5
SPFB.RTS-12.18,1,13/09/18,10:47,106760,106770,106740,106740,61
SPFB.RTS-12.18,1,13/09/18,10:48,106790,106860,106790,106860,23
SPFB.RTS-12.18,1,13/09/18,10:49,106890,106900,106860,106870,28
SPFB.RTS-12.18,1,13/09/18,10:50,106850,106920,106840,106920,51
SPFB.RTS-12.18,1,13/09/18,10:51,106930,106950,106930,106950,13
SPFB.RTS-12.18,1,13/09/18,10:52,106930,106930,106930,106930,2
SPFB.RTS-12.18,1,13/09/18,10:53,106880,106880,106880,106880,3
SPFB.RTS-12.18,1,13/09/18,10:54,106900,106920,106900,106920,4
SPFB.RTS-12.18,1,13/09/18,10:55,106950,107050,106950,106950,89
SPFB.RTS-12.18,1,13/09/18,10:56,107000,107000,106950,106950,13
SPFB.RTS-12.18,1,13/09/18,10:57,106950,106980,106950,106970,9
SPFB.RTS-12.18,1,13/09/18,10:58,106930,106930,106930,106930,47
SPFB.RTS-12.18,1,13/09/18,10:59,106940,106990,106940,106970,27
SPFB.RTS-12.18,1,13/09/18,11:00,106990,106990,106970,106970,10
SPFB.RTS-12.18,1,13/09/18,11:01,106970,107010,106940,106970,86
SPFB.RTS-12.18,1,13/09/18,11:02,106940,106990,106940,106990,15
SPFB.RTS-12.18,1,13/09/18,11:03,106990,106990,106950,106950,9
SPFB.RTS-12.18,1,13/09/18,11:05,106960,106980,106960,106970,9
SPFB.RTS-12.18,1,13/09/18,11:06,106970,107030,106970,106980,77
SPFB.RTS-12.18,1,13/09/18,11:07,106990,107050,106950,106950,66
